name,day,weekend,stage,lastfm_artists
&friends,Sunday,Both,,&friends
54 Ultra,Saturday,Both,,54 Ultra
Addison Rae,Saturday,Both,,Addison Rae
Adriatique,Saturday,Both,,Adriatique
Alex G,Saturday,Both,,Alex G
Anyma,Sunday,Both,,Anyma
Armin van Buuren x Adam Beyer,Friday,2,Quasar,Armin van Buuren|Adam Beyer
Arodes,Friday,Both,,Arodes
AZZECCA,Sunday,Both,,AZZECCA
Bedouin,Saturday,Both,,Bedouin
Ben Sterling,Saturday,Both,,Ben Sterling
BIA,Saturday,Both,,BIA
BIGBANG,Sunday,Both,,BIGBANG
BINI,Friday,Both,,BINI
Black Flag,Sunday,Both,,Black Flag
Blondshell,Saturday,Both,,Blondshell
Blood Orange,Friday,Both,,Blood Orange
Bob Baker Marionettes,Friday,Both,,Bob Baker Marionettes
Boys Noize,Saturday,Both,,Boys Noize
BUNT.,Sunday,Both,,BUNT.
Cachirula & Loojan,Friday,Both,,Cachirula|Loojan
Carlita x Josh Baker,Sunday,Both,,Carlita|Josh Baker
Carolina Durante,Friday,Both,,Carolina Durante
Central Cee,Friday,Both,,Central Cee
Ceremony,Saturday,Both,,Ceremony
Chloé Caillet x Rossi.,Friday,Both,,Chloé Caillet|Rossi.
CLIPSE,Sunday,Both,,CLIPSE
CMAT,Friday,Both,,CMAT
COBRAH,Sunday,Both,,COBRAH
Creepy Nuts,Friday,Both,,Creepy Nuts
Dabeull,Friday,Both,,Dabeull
David Byrne,Saturday,Both,,David Byrne
David Guetta,Saturday,1,Quasar,David Guetta
Davido,Saturday,Both,,Davido
Devo,Friday,Both,,Devo
Die Spitz,Saturday,Both,,Die Spitz
Dijon,Friday,Both,,Dijon
Disclosure,Friday,Both,,Disclosure
DJ Snake's Pardon My French,Saturday,2,Quasar,DJ Snake
DRAIN,Sunday,Both,,DRAIN
Duke Dumont,Sunday,Both,,Duke Dumont
Ecca Vandal,Saturday,Both,,Ecca Vandal
Ethel Cain,Friday,Both,,Ethel Cain
fakemink,Friday,Both,,fakemink
Fatboy Slim,Sunday,1,Quasar,Fatboy Slim
Febuary,Friday,Both,,Febuary
FKA twigs,Sunday,Both,,FKA twigs
Fleshwater,Friday,Both,,Fleshwater
flowerovlove,Friday,Both,,flowerovlove
Foster the People,Friday,Both,,Foster the People
Freak Slug,Saturday,Both,,Freak Slug
French Police,Sunday,Both,,French Police
Fujii Kaze,Saturday,Both,,Fujii Kaze
Geese,Saturday,Both,,Geese
GENESI,Saturday,Both,,GENESI
Gigi Perez,Sunday,Both,,Gigi Perez
GIVĒON,Saturday,Both,,GIVĒON
Glitterer,Sunday,Both,,Glitterer
Gordo,Friday,Both,,Gordo
Green Velvet x AYYBO,Saturday,Both,,Green Velvet|AYYBO
Groove Armada (DJ Set),Friday,Both,,Groove Armada
Hamdi,Friday,Both,,Hamdi
Holly Humberstone,Friday,Both,,Holly Humberstone
Hot Mulligan,Friday,Both,,Hot Mulligan
HUGEL,Friday,Both,,HUGEL
Iggy Pop,Sunday,Both,,Iggy Pop
Interpol,Saturday,Both,,Interpol
Jane Remover,Sunday,Both,,Jane Remover
Jessica Brankka,Friday,Both,,Jessica Brankka
Joost,Friday,Both,,Joost
Joyce Manor,Friday,Both,,Joyce Manor
